Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
no dejar que embarguen las cuentas sin autorizacion del cliente;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;10;Sí
en todo xq no saben quien soy;noespecifica;Sin categoría N2;Sin categoría N3;neutral;7;Sí
no pude hacer la transaccion porque el token digital no se actualizaba y la aplicacion se cerraba;funcionalidad;token;Sin categoría N3;neutral;17;Sí
enviar constancia de operacion en mensaje;funcionalidad;constancias;Sin categoría N3;neutral;6;Sí
esta bien la atencion;otros;reclamos;Sin categoría N3;positivo;4;Sí
pesimo no me pagano mejor dicho no me llega por su culpa d e la pagina de bet bom;Sin categoría N1;Sin categoría N2;Sin categoría N3;negativo;19;Sí
no resolvieron el problema solo me decian yo creo que puede ser asi;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;13;Sí
en responder cuando hacemos pregunta online;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
se beda dar un mayor numero de cajerons de autoservicios;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;10;Sí
ninguno;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
que se pueda ejecutar lo que ofrecen;noespecifica;Sin categoría N2;Sin categoría N3;neutral;7;Sí
buen trabajo;otros;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no se como explicarlo que no se sature la aplicacion en el celular no deja pagar luego envian una pagina me da la duda y ya no puedo realizar mi pagos;funcionalidad;operaciones;no puede realizar monetarias;neutral;31;Sí
se cae la aplicacion;funcionalidad;inestabilidad;Sin categoría N3;neutral;4;Sí
mejorar el proceso de obtener una tarjeta de credito;otros;prestamos;Sin categoría N3;neutral;9;Sí
no sirve su opcion de envios ap exterior solamente hacen perder el tiempo;funcionalidad;operaciones;no puede realizar no especificado;neutral;13;Sí
me bloquearon la cuenta sin razon alguna;seguridad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
en dar una solucion a los problemas no solo en derivar y lavarse las manos;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;15;Sí
apoyo en cuanto a creditos los q estamos mal informados no deberiamos ser discriminados de ese modo ni el credito yape ni al ando quieren dejarnos participar a pesar de tener mi cuenta sueldo y trabajar solo con ud ni adelanto de sueldo nada de nada hay muchas personas como yo q tienen una buena calificacion por buenas por ingenuias no por ladrones o estafadoras es una lastima pero no apoyan en nada asi quien puede ahorrar o invertir si el bcp te cierra la puerta en la cara;otros;prestamos;Sin categoría N3;neutral;89;Sí
en todo en clave token estoy e el extranjero y no puedo transferir;funcionalidad;token;dependencia;neutral;13;Sí
deberian de contar con efectivo suficiente para realizar nuestras operaciones;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
a veces tiene problemas el app;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;6;Sí
mal;noespecifica;Sin categoría N2;Sin categoría N3;negativo;1;Sí
paran en mantenimiento;funcionalidad;inestabilidad;mantenimiento;neutral;3;Sí
es que aun no puedo decir nada ya que por primera vez lo voy ha usar;otros;comentarios genericos;Sin categoría N3;neutral;16;Sí
mejoro en algunos aspectos como el factor del tiempo pero falta mejorar muchas cosas como por ejemplo los errores ciberneticos y factores de bloqueos de cuenta de manera erronea;funcionalidad;inestabilidad;mantenimiento;neutral;29;Sí
para realizar transferencia es lo peor nunca carga para realizar el envio;funcionalidad;operaciones;Sin categoría N3;negativo;12;Sí
mas opciones y facilidades;diseno;cantidad de funcionalidades;Sin categoría N3;neutral;4;Sí
mejorar en el sistema de prestamos en linea se tiene que acudir a otras empresas por un prestamo de 300 o200 o menos porque no califico segun su politica y otras entidades me lo prestan;otros;prestamos;no hay campanas;neutral;35;Sí
en yape no se puede comprar dolares solo permite vender dolares de la cuenta;funcionalidad;operaciones;no puede realizar no especificado;neutral;14;Sí
cuando se tiene varias cuentas podriamos ponerle un nombre a cada una tipo ahorros gastos diarios etc;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;17;Sí
siento que algunas veces los terminos son confusos;Sin categoría N1;Sin categoría N2;Sin categoría N3;negativo;8;Sí
disponibilidad del servicio siempre se cae;funcionalidad;inestabilidad;mantenimiento;neutral;6;Sí
quise hacer un pago de servicios celular a claro y me salia intente mas tarde tuve que usar yape para poder realizar el pago;funcionalidad;operaciones;Sin categoría N3;neutral;24;Sí
solo mejorar la atencion de las atenciones al cliente;otros;reclamos;Sin categoría N3;neutral;9;Sí
no es nada segura ustedes me quitaron dinero que ladrones me robaron hay 200 soles que me debe el bcp no volvere a poner mi dinero en su banco;seguridad;fraudes;Sin categoría N3;neutral;29;Sí
en no fregar alas personas que realmente somos trabajadores y honestas bloqueando las cuentas perjudicando enormemente ami persona;otros;agencias;Sin categoría N3;neutral;18;Sí
quiero un prestamo;otros;prestamos;no hay campanas;neutral;3;Sí
se cuelga sale error;funcionalidad;operaciones;Sin categoría N3;negativo;4;Sí
la atencion al cliente pesima la atencion no tienen paciencia;otros;reclamos;Sin categoría N3;neutral;10;Sí
la persona q me atendio no me hizo un desembolso en la cuenta correcta a pesar que le mencione varias veces;otros;agencias;Sin categoría N3;neutral;21;Sí
demoran mucho en la atencion;otros;reclamos;Sin categoría N3;neutral;5;Sí
en la seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;3;Sí
al momento de apertura mi cuenta me hicieron depositar 15 soles y dijeron que me devolveria en un mes y hasta el momento nunca me devolvieron anteriormente tambien me paso lo mismo que me descontaron de mi tarjeta 50 soles deberian de ser responsables y no mentir;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;47;Sí
el robot no da ninguna explicacion no puedes inter hablar solo se limita a un si o no no te ayuda a una solucion;otros;reclamos;Sin categoría N3;neutral;24;Sí
las transacciones interbancarias a comparacion de otras entidades demoran demasiado;funcionalidad;inestabilidad;lentitud;neutral;10;Sí
todo conforme para mi;otros;comentarios positivos;Sin categoría N3;neutral;4;Sí
no puedo hacer transferencias;funcionalidad;operaciones;no puede realizar no especificado;neutral;4;Sí
no funciona para la simulacion de credito;otros;prestamos;Sin categoría N3;neutral;7;Sí
aumentar monto de transferencias sin costo;tarifas;comision;transferencia;neutral;6;Sí
estas bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
la systema;funcionalidad;inestabilidad;Sin categoría N3;neutral;2;Sí
siempre tengo problemas cuando trato de yapear desde la app banca movil y eso genera demora porque entonces tengo que trasladar dinero al yape y recien yapear;funcionalidad;inestabilidad;lentitud;negativo;27;Sí
esta bien todo;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
pagar mas por ahorro no cobrar mucho por tener en banco;tarifas;Sin categoría N2;Sin categoría N3;neutral;11;Sí
no respeta las desactivaciones en las tarjetas igual paga las compras estando desactivadas;funcionalidad;notificaciones;Sin categoría N3;neutral;13;Sí
en la atencion rapida;otros;reclamos;Sin categoría N3;neutral;4;Sí
mayor informacion sobre los procesos a realizar;funcionalidad;operaciones;no puede realizar consultas;neutral;7;Sí
cada rato me bloquean las tarjetas;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
a veces se cae el yape cuando justo el pago es urgente;funcionalidad;inestabilidad;Sin categoría N3;neutral;12;Sí
sacar dinero de mi cuenta sin mi consentimiento de parte de sus funcionarios;otros;agencias;Sin categoría N3;neutral;13;Sí
muy lentos;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
5;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
atencion de humanos;otros;reclamos;Sin categoría N3;neutral;3;Sí
que se puedan pagar todos los servicios intente pagar una pension de universidadlo intente 4 dias seguidos y no me dejaba salia un mensaje de por favor intentelo en unos minutos;funcionalidad;operaciones;no puede realizar monetarias;neutral;31;Sí
no recibi el correo de seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;6;Sí
el tiempo al inicio es muy lento y ahora existe problemas en hacer transferencias entre cuentas y bancos exteriores y son recurrentes;tarifas;comision;propia;negativo;22;Sí
en la atencion online k uno cuando mas necesita el servicio se cae el sistema de ustedesen my caso no me dejo hacer ni transferencia ni plyn;funcionalidad;inestabilidad;mantenimiento;neutral;27;Sí
se presentas fallas en concretar una operacion por ejemplo de pago de servicios luego intento por otro aplicativo y si se puede realizar;funcionalidad;operaciones;no puede realizar consultas;negativo;23;Sí
gg;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
que optimicen sus sistemas si es que no tienen personal de atencion;otros;agencias;Sin categoría N3;neutral;12;Sí
no pedir el token de seguridad al momento de realizar un pago luego falla y no deja efectuar el proceso como es debido algo muy incomodo;seguridad;prevencion de fraudes;Sin categoría N3;negativo;26;Sí
esta que falla las transferencias desde hace 3 meses;funcionalidad;inestabilidad;Sin categoría N3;negativo;9;Sí
atencion;otros;reclamos;Sin categoría N3;neutral;1;Sí
un poco mas dinamica;diseno;Sin categoría N2;Sin categoría N3;neutral;4;Sí
mas info en cada transaccion por fecha;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;7;Sí
no negar hacer una transferencia con interbak 3 dias he insistido para hacerlo por aplicacion no se podia primer dia no se pudo por ventanilla asi de simple que no sabian que pasaba 2do dia regrese para que digan que el otro banco tiene muchas transferencias y por eso rechazaban al otro dia al gerente le solicite me diera un doc dando el motivo de no poder retirar mi dinero no lo puedo hacer me respondio finalmente llamo a otro que me atienda por ventanilla al cual explique todo lo sucedido y me dijo que me podia dar cada dia 10 mil o en efectivo los 50 mil que yo pedia le respondi que con tanto peligro que hay como me voy a ir con la plata en mis manosle pedi que insista asi lo hizo y se pudo hacer la transferencia con la advertencia que llegaba entre 24 o 48 horas cosa que no fue asi se transfirio en corto tiempo lamento lo sucedido y el mal rato que me hicieron pasar esto me llevo a pensar una denuncia policial un dia mas no iba esperar todo sucedio en la agencia de garron en jesus maria;otros;agencias;tiempo de espera;negativo;197;Sí
me robaron en esas transacciones;seguridad;fraudes;Sin categoría N3;neutral;5;Sí
las transferencias no se hacen al momento;funcionalidad;operaciones;Sin categoría N3;neutral;7;Sí
como que impuesto por compras en internet;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
en nada todo bien;otros;comentarios genericos;Sin categoría N3;positivo;4;Sí
activacion de controles en sucursal;otros;agencias;Sin categoría N3;neutral;5;Sí
no se puede realizar compras con la tc en visa latam;funcionalidad;operaciones;no puede realizar no especificado;neutral;11;Sí
en el respaldo de la seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;6;Sí
no encuentro lo que buscaba;noespecifica;Sin categoría N2;Sin categoría N3;neutral;5;Sí
poder brindar la ayuda de manera presencial porque no saben resolver portelefon;otros;agencias;Sin categoría N3;neutral;12;Sí
no puedo acceder a banca movil;funcionalidad;login;no puede ingresar;neutral;6;Sí
me robaron plata de mi cuenta y no me devolvieron o no me llego;seguridad;fraudes;Sin categoría N3;neutral;14;Sí
no siento que ofrecen un servicio personalizado;tarifas;comision;Sin categoría N3;neutral;7;Sí
me atendio una senorita muy amable en la oficina de colonial pero no pudo hacer nada por mi luego cuando iba a sacar otro tickete atendio una malcriada embarazada que debe creer en su diminuto cerebro que por su condicion de gestante puede faltarle el respeto a los clientes se acerco y como me equivoque en sacar para plataforma y no ventanilla rebusno creo que no necesita ayuda lo dijo sarcasticamente al ver que me equivoque como la vi que estaba embarazada no le dije nada pero ese tipo de trabajadores no deberian tener ni fina preferencia si o pueden respetar a un cliente;otros;agencias;Sin categoría N3;neutral;104;Sí
que funcione las trasferencia interbancancaria;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
pocas opciones y personalizacion;diseno;cantidad de funcionalidades;Sin categoría N3;neutral;4;Sí
mejor atencion preferencial;otros;reclamos;Sin categoría N3;positivo;3;Sí
en la opcion de notificaciones;funcionalidad;constancias;Sin categoría N3;neutral;5;Sí
no me gusta pesimo;noespecifica;Sin categoría N2;Sin categoría N3;negativo;4;Sí
hoy la pagina no cargo por varias horas cuando tenia que realizar unos pagos;funcionalidad;operaciones;Sin categoría N3;neutral;14;Sí
personal q sepa su trabajo que sea cordial he sufrido el mal trato de las empleadas que frente a mi pregunta trataban de deshacerse de mi para no contestar y orientarme como es su responsabilidad he ido en tres oportunidades al banco y solo el ultimo dia una empleada de banca movil me dijo ah lo de ud se llama rescate etc todo lo he vivido parada al lado de un telefono no te ofrecen una silla estoy recuperandome de un derrame en la rodilla y lo soporte todo estoicamente yo creo que un cliente del banco merece un mejor trato me olvidaba acabo de cumplir 80 anos pero nada les importo que pasa con esos jovencitos expertos en apretar botones y creen q ya saben todo un curso de relaciones humanas que los obligue a vivir como humanos le haria mucho bien;otros;centro de contacto;llamadas;positivo;143;Sí
mas eficiencia y seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;4;Sí
mas empaticos pesima atencion;otros;reclamos;Sin categoría N3;neutral;4;Sí
no me han resuelto mi problema;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;6;Sí
en su seguridad tuve que sacar una nueva tarjeta xq desde mi antigua banca movil realizaron 3 pagos sin mi concentimiento;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;21;Sí
quisiera retirar en efectivo ya que otros te cobran dinero fisico porque temen que se les engane y en macusani no hay ni un agente bcp cuando antes habia mas de 10 agentes y se hicieron acostumbrar y ahora la senito que nos atendia en nuestro idioma ya no atiende por culpa de los otros agentes que le hizo competencia;otros;cajero;cantidad disponible;neutral;60;Sí
sale que no se puede dar informacion;otros;informacion;falta de informacion;neutral;7;Sí
en demasiados aspectos las app de otros bancos son mucho mas seguras y van avanzando con la tecnologia la del bcp se quedo en el pasado;tarifas;Sin categoría N2;Sin categoría N3;neutral;26;Sí
en la madrugada se cae el servicio;funcionalidad;inestabilidad;mantenimiento;neutral;7;Sí
pooo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
mi tarjeta de credito caduco y no he tenido tiempo de sacar una nueva y no puedo ver mis deuda no figura nada;otros;prestamos;Sin categoría N3;neutral;23;Sí
nunca se pudo hacer la transferencia;funcionalidad;operaciones;Sin categoría N3;neutral;6;Sí
no funciona mi banca no puedo transferir pagar servicios nada arreglen su webada;funcionalidad;operaciones;no puede realizar monetarias;neutral;13;Sí
deberia reaccionar mas rapido;otros;comentarios positivos;Sin categoría N3;positivo;4;Sí
separar montos de banca movil y cuenta de ahorros;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;9;Sí
darle mantenimiento a la app hay dias que no permite realizar transferencias o pagos;funcionalidad;inestabilidad;mantenimiento;neutral;14;Sí
procesos mas rapidos y aumentar pago de otros servicios;funcionalidad;operaciones;Sin categoría N3;neutral;9;Sí
las letras y colores se hacen algunas veces dificiles de leer;diseno;Sin categoría N2;Sin categoría N3;neutral;11;Sí
en k nesecitamos prestamos y no nos brindan;otros;prestamos;no hay campanas;neutral;8;Sí
no responde a las necesidades que uno tiene;otros;Sin categoría N2;Sin categoría N3;neutral;8;Sí
empresa corrupta nunca hicieron nada cuando hicieron compras con mi tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
que agreguen actualizaciones constantes para mejorar la interfaz de la app;diseno;ubicacion de funcionalidades;Sin categoría N3;neutral;11;Sí
bcp se presenta para los embargo de me cuesta por la deuda de 400 a la municipalidad yo no estoy de acuerdo con embargos tengo que perder tiempo para acercarme al plataforma del banco de demora como 2 horas para atender para que me deja el banco tiene 10 dias de plazo solucionar me problema yo ya solucione me problema con la municipalidad;otros;reclamos;Sin categoría N3;negativo;63;Sí
debe funcionar siempre muchas veces noe deja planear demora en actualizar los saldos y engana xk uno se confia viendo el saldo y despues resulta q tengo menos nunca dan un prestamo yape nada;otros;agencias;tiempo de espera;neutral;34;Sí
son una tortuga la ia jamas va a superar la ih ubiquense ayuda pero no la reemplaza estan haciendo un papelon;otros;informacion;Sin categoría N3;neutral;21;Sí
servicio al cliente;otros;centro de contacto;Sin categoría N3;neutral;3;Sí
no me solucionaron mi problema se demoran demasiado en responder tengo que volver siempre a escribirles para que me respondan;funcionalidad;inestabilidad;caida de sistema;negativo;20;Sí
mejora la atencion gracias;otros;reclamos;Sin categoría N3;positivo;4;Sí
que sea mas rapido;otros;comentarios positivos;Sin categoría N3;positivo;4;Sí
es muy pesima la app demora en actualizar los gastos generando problemas;funcionalidad;inestabilidad;lentitud;negativo;12;Sí
que nuestros asesores o personas nos ayuden con nuestras inquietudes sobre el ahorros;otros;agencias;Sin categoría N3;neutral;13;Sí
no resuelve mi consulta;funcionalidad;operaciones;no puede realizar consultas;neutral;4;Sí
en tomar en cuenta al cliente y verificar de forma personal o telefonica si efectivamente aprueba la devitacion de su cuenta y no permitir el ingreso de tercerosy asi evitariamos estos inconvenientes;otros;prestamos;no califican;neutral;32;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
deberian funcionar todas las opciones que hay en la app;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
deberian poner el nombre de las personas a las cuales depositamos;otros;agencias;Sin categoría N3;neutral;11;Sí
me hicieron un ofrecimiento y no se dio;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;8;Sí
las oficinas de trujillo demasiada cola demoran mucho en atender;otros;agencias;tiempo de espera;neutral;10;Sí
si tenemos dos cuentas como en mi caso deseaba retirar dolares y solo me aparecia la opcion de soles a pesar que estaba en la de dolares eso deben de mejorar buenas noches;funcionalidad;Sin categoría N2;Sin categoría N3;positivo;33;Sí
no me gusta;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
en la verificacion de su sistema luego de las 12 de la noche;funcionalidad;inestabilidad;Sin categoría N3;neutral;13;Sí
el dia 11 de octubre tuve una mala experiencia;diseno;Sin categoría N2;Sin categoría N3;negativo;9;Sí
problemas en leer la tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;5;Sí
lamentablemente la app no me informo de operaciones de debito cusando molestia personal como a la empresa que realice la operacion generado un cobro duplicado en mi cuenta;otros;agencias;Sin categoría N3;negativo;28;Sí
a veces se cierra cuando esta en plena transaccion;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;9;Sí
no deberian cobrar comision por yape es el colmo ustedes parecen choros ya;funcionalidad;operaciones;Sin categoría N3;neutral;13;Sí
deberian imitar la app de banco estado chilecon eso se los digo todo;tarifas;Sin categoría N2;Sin categoría N3;neutral;13;Sí
no cnc y la;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
hay dias q no se puede utilizar la banca movil no se puede hacer cambio de dolares a soles no se puede transferir de bcp a bcp tengo q estar intentando cada 30 minutos aver si ya esta arreglada la banca movil;funcionalidad;operaciones;no puede realizar monetarias;neutral;42;Sí
duracion de por lo menos 5 minutos el token digital intente sacar una tarjeta de credito y cuando llegue al ultimo paso el token ya no funcionaba;otros;prestamos;Sin categoría N3;neutral;27;Sí
para mi esta bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;4;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
mas rapido muy lenta;otros;comentarios positivos;Sin categoría N3;positivo;4;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no me han ayudado en nada tengo mas de 25 dias buscando un extorno y lo que han hecho es cogetse mi plata y no devolverme son unos rateros xq han comido mi dinero de mi cuenta de ahorros;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;39;Sí
nunca califico para nada ya estoy cansado de este banco;tarifas;Sin categoría N2;Sin categoría N3;neutral;10;Sí
no esta todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;4;Sí
deberia haber notificaciones por mensajes de texto para validar la informacion no solo el sistema de notificaciones de la app eso me impidio realizar mi tramite y tuve que ir a la agencia a realizarlo presencialmente;otros;agencias;Sin categoría N3;neutral;36;Sí
las respuestas son un poco lentas;otros;reclamos;Sin categoría N3;neutral;6;Sí
tygtu;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
el dia 24 de diciembre realize una transferencia desde mi cuenta en dolares a una cuenta de estados unidos la por equivocacion mia la envie a una cuenta que esta cerrada reclamen banco wells fargo me indico que dicha transferencia nunca la recibio de bcp el monto de transferencia fue 1050 dolares codigo de transferencia h110628 canal banca por internet bcp numero de operacion06044525 banco de destino tipo del codigo banco swift wfbius6s direccion banco pagador 5219 san dario ave laredo tx 78041 usa ciudad laredo datos benificiario luis alberto mamud cuenta 3101354458 yo me equivoque deberia ser 3101210759 hasta el dia de hoy no regreso a mi cuenta de bcp favor su apoyo;tarifas;comision;Sin categoría N3;neutral;114;Sí
realuzar campanas de prestamos;otros;prestamos;no hay campanas;neutral;4;Sí
no atienden rapido cuando hay para consultar deben modificar los numeros de cellulare cuando la titular ya no tiene el celular no ir precisamente a la agenzia para hacerlo personalmente;otros;agencias;Sin categoría N3;neutral;30;Sí
tengo un rwclamo el cual aun no tengo una respuesta por ello me retirare de este banco;tarifas;Sin categoría N2;Sin categoría N3;neutral;17;Sí
pesimo servicio;funcionalidad;inestabilidad;mantenimiento;negativo;2;Sí
se cuelga el sistema;funcionalidad;inestabilidad;Sin categoría N3;neutral;4;Sí
mejorar la comunicacion sobre las canciones realizadas con la cuenta bancaria;funcionalidad;notificaciones;Sin categoría N3;neutral;11;Sí
que no pase lo que me pase llegue tarde al trabajo por la situacion sucedida;otros;Sin categoría N2;Sin categoría N3;neutral;15;Sí
poner la fecha de la transaccion;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;6;Sí
todavia no puedo yapear o token sin ir a una agencia;otros;agencias;Sin categoría N3;neutral;11;Sí
es una porqueria;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
no se puede hacer transferencia;funcionalidad;operaciones;no puede realizar no especificado;neutral;5;Sí
en solucionar el aplicativo que no se demore;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
se demora en hacer la coneccion sin importar de dobde intente conectarme;funcionalidad;inestabilidad;lentitud;neutral;12;Sí
se cae constantemente;funcionalidad;inestabilidad;Sin categoría N3;neutral;3;Sí
que el aplicativo no se cuelgue y funcione a toda hora;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
dar enformacion claro;diseno;amigable;Sin categoría N3;neutral;3;Sí
fluides en los movimientos transacciones retiros;funcionalidad;operaciones;Sin categoría N3;neutral;6;Sí
no cargan los pagos de recibos en linea se tuvo que utilzar otras vias de pagola nueva presentacion es menos intuitiva pero seria cuestion de adaptarse;funcionalidad;operaciones;no puede realizar consultas;neutral;26;Sí
ojala respondan desde hace tres dias trate de pagar mi recibo claro banca movil y yape indican no se ubica a la empresa me contacte con claro felizmente solucionaron pague por app de claro digan por que esta falla;funcionalidad;inestabilidad;Sin categoría N3;negativo;39;Sí
no puedo colocar una observacion al deposito que hago necesito sustentar a la sunat el deposito al exterior;otros;cajero;Sin categoría N3;neutral;18;Sí
se deberia habilitar un video o enlace del paso a paso para las configuraciones por renovacion de tarjeta o nueva tarjeta etc permitir que el cliente pueda configurar cuanto puede transferir como transferencia interbancaria sin costo es molesto hacerlo varias veces con cantidades elevadas para evitar el cobro de comision;tarifas;comision;transferencia;negativo;50;Sí
hasta los momentos me parece todo excelente;otros;comentarios positivos;Sin categoría N3;positivo;7;Sí
de que se pueda borrar el historial;noespecifica;Sin categoría N2;Sin categoría N3;neutral;7;Sí
buena;noespecifica;Sin categoría N2;Sin categoría N3;positivo;1;Sí
en mi applicativo no puedo realizar tranferencia;funcionalidad;operaciones;no puede realizar no especificado;neutral;7;Sí
la aplicacion debe ser mas rapida;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
es una mierda esta agencia solo uno trabaja en plataforma y estoy ya mas de 1 hora esperando;otros;agencias;tiempo de espera;neutral;18;Sí
en que no me estem borando dinero y esten verificando ello;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
recomiendo que si el banco retiene un dinero se devuelva en poco plazo me parece mucho 7 dias habiles;tarifas;Sin categoría N2;Sin categoría N3;neutral;19;Sí
mantenernos permanentemente informados sobre los servicios y nuevos productos;funcionalidad;inestabilidad;mantenimiento;neutral;9;Sí
algo malogrado cuando haciendo una transferencia y ahora se dice necesito un nuevo token digital;funcionalidad;token;no funciona;neutral;15;Sí
no puedo actualizar el token;funcionalidad;token;Sin categoría N3;neutral;5;Sí
clave tok3n digital dinamica no fija;funcionalidad;token;dependencia;neutral;6;Sí
los cajeros no sirve para depositos;otros;cajero;Sin categoría N3;neutral;6;Sí
agilizar en ventanilla;otros;agencias;Sin categoría N3;neutral;3;Sí
atencio al publico mas presencia;otros;agencias;Sin categoría N3;neutral;5;Sí
me parece que esta bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;5;Sí
no puedo cambiar mi numero de telefono;funcionalidad;no permite instalar app;Sin categoría N3;neutral;7;Sí
que la app sea mas eficientela semana pasada tuve que ir al banco porque aparecio renovar token digital;tarifas;Sin categoría N2;Sin categoría N3;neutral;18;Sí
si dicen que es cuota sin intereses que se respete estan que cobran al final;tarifas;intereses;Sin categoría N3;neutral;15;Sí
no sirve te complica;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
hacerlo mas practico;diseno;amigable;Sin categoría N3;positivo;3;Sí
no me dan prestamos;otros;prestamos;no hay campanas;neutral;4;Sí
ni me deja ingresar al ser nueva tarjeta;funcionalidad;login;no puede ingresar;neutral;8;Sí
mas seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;2;Sí
su aplicaciones tienen algunas funciones que no funcionan como deberian;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
mala no me deja validar mi identidad con mi carnet de extranjeria que esta vigente;seguridad;Sin categoría N2;Sin categoría N3;negativo;15;Sí
tengo dos anos solicitandola la tarjeta de credito no recomendaria bcp;otros;prestamos;Sin categoría N3;neutral;11;Sí
deben atender mas personas;otros;agencias;Sin categoría N3;neutral;4;Sí
en rapidez;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
mas fluidez;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
en esta oportunidad tenia que pagar con qr no me permitia tuve que pasar a mi cuenta yape para poder pagar en un pos;funcionalidad;operaciones;no puede realizar monetarias;neutral;24;Sí
mejor atencion a los clientes x muchas colas tenemos que evitar xf tiene que ser el equipo mas especializado gracias;otros;reclamos;Sin categoría N3;positivo;20;Sí
abusivos en tasa de prestamo;otros;prestamos;no hay campanas;neutral;5;Sí
deberian mejorar en no cobrar comision por transferencia como lo hace scotiabank interbank y otros bancos;tarifas;comision;transferencia;neutral;16;Sí
cobrar menos comision;tarifas;comision;Sin categoría N3;neutral;3;Sí
solicite informacion acerca de creditos hipotecarios para peruanos residentes en usa se me informo que alguien me llamaria fue confirmado via email 7 dias y nadie llamo muy mal;otros;prestamos;Sin categoría N3;negativo;29;Sí
en la rapidez de atencion;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
la comision muy alto;diseno;Sin categoría N2;Sin categoría N3;neutral;4;Sí
mas prestamo;otros;prestamos;no hay campanas;neutral;2;Sí
cuando estoy en ventanilla haciendo un tramite bancario y la persona que me atiende me ofrece un producto y en el cual yo le escucho dejo que termine de hablar y yo le respondi que no estoy interesado por motivos x pero aun asi la persona me insiste y eso me exaspera y mi irrita deben entender que no es no y no esperen que uno sea maleducado en responder;otros;agencias;cordialidad;neutral;70;Sí
mi pedido qno solucionan despues d pagar mi prestamo perdonal y q segian descontando mi saldoantes d ayer llame al banco y m dijieron q ivan a solucionar y ni veo nada;otros;prestamos;no hay campanas;neutral;32;Sí
atender mejor a los clientes antiguos;otros;Sin categoría N2;Sin categoría N3;neutral;6;Sí
quedaron en que me llamarian para continuar con mi consulta y hasta la fecha nadie me ha llamado;otros;Sin categoría N2;Sin categoría N3;neutral;18;Sí
